example_id                                                        | status  | run_time        |
./spec/services/application_service_spec.rb[1:2]                  | passed  | 0.00332 seconds |
./spec/services/application_service_spec.rb[1:3]                  | passed  | 0.00555 seconds |
./spec/services/enrollment_service_spec.rb[1:1:1]                 | passed  | 0.01969 seconds |
./spec/services/enrollment_service_spec.rb[1:1:2]                 | passed  | 0.00736 seconds |
./spec/services/enrollment_service_spec.rb[1:1:3]                 | passed  | 0.00773 seconds |
./spec/services/enrollment_service_spec.rb[1:2:1:1]               | passed  | 0.03238 seconds |
./spec/services/enrollment_service_spec.rb[1:2:1:2]               | passed  | 0.03044 seconds |
./spec/services/enrollment_service_spec.rb[1:2:2:1]               | passed  | 0.02243 seconds |
./spec/services/enrollment_service_spec.rb[1:2:2:2]               | passed  | 0.01584 seconds |
./spec/services/enrollment_service_spec.rb[1:2:3]                 | passed  | 0.02238 seconds |
./spec/services/enrollment_service_spec.rb[1:2:4]                 | passed  | 0.00882 seconds |
./spec/services/enrollment_service_spec.rb[1:3:1]                 | passed  | 1.09 seconds    |
./spec/services/enrollment_service_spec.rb[1:3:2]                 | passed  | 1.09 seconds    |
./spec/services/enrollment_service_spec.rb[1:3:3]                 | passed  | 1.06 seconds    |
./spec/services/enrollment_service_spec.rb[1:3:4]                 | passed  | 1.06 seconds    |
./spec/services/enrollment_service_spec.rb[1:3:5]                 | passed  | 1.05 seconds    |
./spec/services/enrollment_service_spec.rb[1:3:6]                 | passed  | 0.85828 seconds |
./spec/services/enrollment_service_spec.rb[1:3:7]                 | passed  | 1.53 seconds    |
./spec/services/enrollment_service_spec.rb[1:4:1]                 | passed  | 0.02573 seconds |
./spec/services/enrollment_service_spec.rb[1:4:2]                 | passed  | 0.00819 seconds |
./spec/services/therapy_sessions/log_trial_service_spec.rb[1:1:1] | passed  | 0.08032 seconds |
./spec/services/therapy_sessions/log_trial_service_spec.rb[1:1:2] | passed  | 0.09249 seconds |
./spec/services/therapy_sessions/log_trial_service_spec.rb[1:1:3] | passed  | 0.08732 seconds |
./spec/services/therapy_sessions/log_trial_service_spec.rb[1:1:4] | passed  | 0.11861 seconds |
./spec/services/therapy_sessions/log_trial_service_spec.rb[1:2:1] | passed  | 0.49582 seconds |
./spec/services/therapy_sessions/log_trial_service_spec.rb[1:3:1] | passed  | 0.11708 seconds |
./spec/services/therapy_sessions/log_trial_service_spec.rb[1:3:2] | passed  | 0.28534 seconds |
./spec/services/therapy_sessions/log_trial_service_spec.rb[1:3:3] | passed  | 0.14824 seconds |
./spec/services/therapy_sessions/log_trial_service_spec.rb[1:3:4] | passed  | 0.12059 seconds |
./spec/services/therapy_sessions/start_service_spec.rb[1:1:1]     | passed  | 0.12096 seconds |
./spec/services/therapy_sessions/start_service_spec.rb[1:1:2]     | passed  | 0.09423 seconds |
./spec/services/therapy_sessions/start_service_spec.rb[1:1:3]     | passed  | 0.09041 seconds |
./spec/services/therapy_sessions/start_service_spec.rb[1:1:4]     | passed  | 0.0971 seconds  |
./spec/services/therapy_sessions/start_service_spec.rb[1:1:5]     | passed  | 0.08721 seconds |
./spec/services/therapy_sessions/start_service_spec.rb[1:2:1]     | passed  | 0.0738 seconds  |
./spec/services/therapy_sessions/start_service_spec.rb[1:3:1]     | passed  | 0.06797 seconds |
./spec/services/therapy_sessions/start_service_spec.rb[1:3:2]     | passed  | 0.06348 seconds |
./spec/services/therapy_sessions/start_service_spec.rb[1:3:3]     | passed  | 0.04693 seconds |
./spec/services/therapy_sessions/start_service_spec.rb[1:3:4]     | passed  | 0.09182 seconds |
./spec/simple_spec.rb[1:1]                                        | passed  | 0.00416 seconds |
./spec/simple_spec.rb[1:2]                                        | passed  | 0.00376 seconds |
./spec/simple_spec.rb[1:3]                                        | passed  | 0.00887 seconds |
